,Column1,Column2,Column3,Column4,Column42,Column43,Column8,FIXED PLSS ID,Column9,Column5,Column6,Column7
117,1090N0,690W0,SN05, S2NE,S2NE,AS½NE,1090N0690W0SN05AS½NE,1090N0690W0SN05ASENE,,160.28,Hand,SOUTH DAKOTA STATE UNIVERSITY
118,1110N0,690W0,SN07,SE4,SE4,ASE,1110N0690W0SN07ASE,1110N0690W0SN07ANWSE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
119,1110N0,690W0,SN07,SE4,SE4,ASE,1110N0690W0SN07ASE,1110N0690W0SN07ANESE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
120,1110N0,690W0,SN07,SE4,SE4,ASE,1110N0690W0SN07ASE,1110N0690W0SN07ASWSE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
121,1110N0,690W0,SN07,SE4,SE4,ASE,1110N0690W0SN07ASE,1110N0690W0SN07ASESE,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
122,1110N0,690W0,SN08,SW4,SW4,ASW,1110N0690W0SN08ASW,1110N0690W0SN08ANWSW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
123,1110N0,690W0,SN08,SW4,SW4,ASW,1110N0690W0SN08ASW,1110N0690W0SN08ANESW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
124,1110N0,690W0,SN08,SW4,SW4,ASW,1110N0690W0SN08ASW,1110N0690W0SN08ASWSW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
125,1110N0,690W0,SN08,SW4,SW4,ASW,1110N0690W0SN08ASW,1110N0690W0SN08ASESW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
126,1110N0,690W0,SN19, E2NW,E2NW,AE½NW,1110N0690W0SN19AE½NW,1110N0690W0SN19ANENW,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
127,1110N0,690W0,SN19, E2NW,E2NW,AE½NW,1110N0690W0SN19AE½NW,1110N0690W0SN19ASENW,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
128,1110N0,690W0,SN19,NE4,NE4,ANE,1110N0690W0SN19ANE,1110N0690W0SN19ANWNE,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
129,1110N0,690W0,SN19,NE4,NE4,ANE,1110N0690W0SN19ANE,1110N0690W0SN19ANENE,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
130,1110N0,690W0,SN19,NE4,NE4,ANE,1110N0690W0SN19ANE,1110N0690W0SN19ASWNE,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
131,1110N0,690W0,SN19,NE4,NE4,ANE,1110N0690W0SN19ANE,1110N0690W0SN19ASENE,,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
132,1110N0,690W0,SN20,SW4                                                         ,SW4,ASW,1110N0690W0SN20ASW,1110N0690W0SN20ANWSW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
133,1110N0,690W0,SN20,SW4                                                         ,SW4,ASW,1110N0690W0SN20ASW,1110N0690W0SN20ANESW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
134,1110N0,690W0,SN20,SW4                                                         ,SW4,ASW,1110N0690W0SN20ASW,1110N0690W0SN20ASWSW,,160.0,Hand,SOUTH DAKOTA STATE UNIVERSITY
