,state,trust_name,managing_agency,university,gis_acres,rights_type,county,township,range,section,geometry
30,NE,University,Board of Educational Lands and Funds,University of Nebraska,314.78,surface,Cedar,32,01W,14,"POLYGON ((2338205.123125136 1070499.4551258087, 2336972.509940326 1070466.4076241106, 2336941.013616428 1071785.3099949807, 2336909.5737228543 1073101.862305224, 2338104.729638472 1073141.5078899711, 2339412.350209236 1073184.884437874, 2340728.222402841 1073228.5346072465, 2342052.423646912 1073272.4610227495, 2342106.782454863 1071940.252249822, 2342161.2439528853 1070605.5224848986, 2340834.2001951933 1070569.943164453, 2339515.5196086317 1070534.5879248977, 2338205.123125136 1070499.4551258087))"
31,NE,University,Board of Educational Lands and Funds,University of Nebraska,79.65,surface,Webster,01,09W,19,"POLYGON ((2093376.493376419 79019.99389961362, 2092044.4732513726 79013.56248289347, 2092014.5343388468 80328.56427150965, 2091985.851001069 81643.58377663791, 2093281.6500747502 81667.62539203465, 2093329.2582409382 80343.58950193226, 2093376.493376419 79019.99389961362))"
32,NE,University,Board of Educational Lands and Funds,University of Nebraska,162.03,surface,Nuckolls,01,08W,20,"POLYGON ((2132829.898077965 79610.8482825309, 2132761.284707248 79610.8482825309, 2132502.4273196906 79772.02346371114, 2131583.87350443 80343.95301821828, 2131457.680204019 80971.68396291137, 2131439.303602785 81063.09616951644, 2131175.53972964 82375.15144212544, 2131410.4568795413 82381.49362020195, 2132736.2572015673 82417.28619478643, 2132806.0001630634 82419.16906477511, 2134063.2842270136 82453.11223386228, 2134107.1305902004 81133.89195029438, 2134117.991787508 80807.10721416771, 2134150.965798542 79815.01221717894, 2134155.2289128155 79686.74313378334, 2133472.1742672175 79610.8482825309, 2132829.898077965 79610.8482825309))"
33,NE,University,Board of Educational Lands and Funds,University of Nebraska,81.18,surface,Holt,26,09W,20,"MULTIPOLYGON (((2078293.1859781593 867943.5088427663, 2076969.1943792999 867920.5938653946, 2076938.7282369286 869248.4164928198, 2078263.9891900271 869271.3317982852, 2078293.1859781593 867943.5088427663)), ((2078205.4273070544 871934.6282835305, 2076877.6204276234 871911.7129780799, 2076846.9784326106 873247.2009434849, 2078176.062212199 873270.1162489504, 2078205.4273070544 871934.6282835305)))"
34,NE,University,Board of Educational Lands and Funds,University of Nebraska,200.54,surface,Webster,01,10W,21,"POLYGON ((2076237.5765170753 77358.92854459584, 2076256.7831690311 76028.73879623413, 2074944.9145758152 76007.95832873881, 2074911.4520487636 77321.07265420258, 2073591.9397710562 77286.8975302279, 2073566.7095099092 78598.40588799119, 2073546.862439379 79918.9257094711, 2074864.190338537 79959.9830366075, 2076189.5421707034 80004.90977805853, 2076217.812451616 78688.12846566737, 2076237.5765170753 77358.92854459584))"
35,NE,University,Board of Educational Lands and Funds,University of Nebraska,396.14,surface,Webster,02,10W,21,"POLYGON ((2071591.8334724456 112803.98976075649, 2071651.586953938 111454.54972536862, 2072973.8190421015 111507.64606881142, 2074292.7735782117 111560.67023395002, 2074328.3109039962 110246.92926940322, 2074361.0211360604 108931.31855818629, 2074388.2130072117 107607.57663071156, 2073074.385428667 107603.00282157958, 2071792.405223161 107558.24832384288, 2070450.604279086 107488.2973575443, 2070439.2109306902 108780.2299696505, 2070381.857378468 110092.21864135563, 2070336.5766351372 111379.81333619356, 2070248.7507069707 112803.69645428658, 2071591.8334724456 112803.98976075649))"
36,NE,University,Board of Educational Lands and Funds,University of Nebraska,643.68,surface,Holt,28,10W,22,"POLYGON ((2053434.300019145 931049.0579825044, 2052092.8957277685 931016.3949944228, 2052082.1152389497 932342.0821277201, 2052052.8633328378 933659.2135049701, 2052023.5494189858 934978.8274884969, 2052001.4815526605 936301.4070168585, 2053324.340279907 936324.1950260103, 2054654.569398269 936347.4587559253, 2055984.8644613624 936370.7234700769, 2057315.2257972807 936393.9901527464, 2057337.396353677 935070.2426478565, 2057359.524915412 933748.9915287346, 2057381.6121386439 932430.2302336842, 2057403.6576952934 931113.951216802, 2056080.4751498401 931092.320357427, 2054757.3559244573 931070.689498052, 2053434.300019145 931049.0579825044))"
37,NE,University,Board of Educational Lands and Funds,University of Nebraska,523.93,surface,Holt,26,09W,24,"POLYGON ((2100669.216668129 872362.4128042608, 2100691.511896163 871042.8578757346, 2099373.6777644902 871014.483264327, 2098051.6992847174 870986.0194142759, 2098074.4807321876 869662.7482863218, 2099396.2118371725 869693.284638524, 2100713.799578294 869723.72551848, 2100736.0803706646 868405.0150763541, 2099418.7386920154 868372.5092401654, 2098097.255289912 868339.9013700783, 2096771.610151276 868307.1908099204, 2095441.784575373 868274.3772316128, 2095418.510674879 869601.3858843893, 2095395.2292284667 870928.8226858675, 2095371.94056423 872256.6866517812, 2095348.6440259814 873584.9784383178, 2096679.4722244292 873609.4465619922, 2098006.1137520075 873633.8372579962, 2098028.9099632353 872309.7160662562, 2099351.1361459047 872336.105773747, 2099328.5876375586 873658.1515106112, 2100646.914550334 873682.3896478862, 2100669.216668129 872362.4128042608))"
38,NE,University,Board of Educational Lands and Funds,University of Nebraska,113.35,surface,Knox,30,04W,24,"POLYGON ((2250480.3679614216 1000482.9791241884, 2249143.43085213 1000454.8577930927, 2249104.6392681897 1001693.5205056816, 2250432.8723278195 1001728.4764678776, 2251751.4895942956 1001760.6345357746, 2253062.413307637 1001789.1738449931, 2253079.7301998287 1000528.1306027025, 2251790.7339331657 1000506.6805172116, 2250480.3679614216 1000482.9791241884))"
39,NE,University,Board of Educational Lands and Funds,University of Nebraska,74.61,surface,Webster,02,09W,27,"POLYGON ((2108813.445033565 103065.44655409455, 2107567.1209199876 103048.16837571561, 2107564.2482227087 104365.98643130064, 2107561.2639770955 105686.97409954667, 2108771.6026031226 105716.13906359673, 2108793.0087254494 104392.68092817068, 2108813.445033565 103065.44655409455))"
40,NE,University,Board of Educational Lands and Funds,University of Nebraska,158.87,surface,Madison,24,04W,27,"POLYGON ((2248447.1282033026 806249.934053883, 2247129.4312104434 806227.8921061456, 2247090.82794632 807545.524794668, 2247052.307359174 808860.3284209818, 2248367.2563263923 808879.6252958477, 2249525.4270846695 808896.6213225871, 2249680.8473568857 808856.4448990822, 2249720.7727966607 807586.8153890222, 2249762.121461764 806271.930398047, 2248447.1282033026 806249.934053883))"
41,NE,University,Board of Educational Lands and Funds,University of Nebraska,186.54,surface,Antelope,26,08W,28,"MULTIPOLYGON (((2112534.014526412 863345.1085449457, 2111206.9376322925 863305.2362546623, 2111170.8573286682 864626.3535158038, 2111134.594282642 865954.1584267318, 2112048.2698274553 865975.7463071942, 2112473.9998906255 865767.728050068, 2113814.1354839057 865112.9154702276, 2114604.945477113 864726.512751013, 2113823.377918273 864697.5584164411, 2113852.5904543847 863384.7255864441, 2112534.014526412 863345.1085449457)), ((2115136.904316336 864732.8194960952, 2115128.313455403 864732.588853538, 2113808.7247342914 865356.0835867822, 2112475.8643879592 865985.8493040204, 2113794.018400833 866016.9942507297, 2115110.9312746227 866048.1099980175, 2115136.904316336 864732.8194960952)))"
42,NE,University,Board of Educational Lands and Funds,University of Nebraska,362.83,surface,Holt,28,10W,28,"POLYGON ((2052141.0347327143 928380.0115095079, 2052158.7135007828 927052.3220839053, 2052172.588799283 925723.9453237951, 2050845.5483224243 925697.4069945663, 2049514.6613970697 925677.3207513243, 2049499.833344698 927010.5459262878, 2049485.1627723128 928336.6349616051, 2048157.4602233768 928314.9548897296, 2048144.3769179434 929633.1446636915, 2049470.5886564106 929655.6229622066, 2049456.1319943368 930967.5748885721, 2050781.002200231 930990.8507575691, 2052092.8957277685 931016.3949944228, 2052123.4504526407 929700.5838243216, 2052141.0347327143 928380.0115095079))"
43,NE,University,Board of Educational Lands and Funds,University of Nebraska,39.97,surface,Webster,01,10W,29,"POLYGON ((2068465.2810854316 70605.61223894358, 2068429.771974817 71931.69668111205, 2069742.5457498282 71946.61265979707, 2069773.2815766633 70616.20309562981, 2068465.2810854316 70605.61223894358))"
44,NE,University,Board of Educational Lands and Funds,University of Nebraska,79.94,surface,Webster,02,10W,29,"POLYGON ((2066561.4226130545 106113.92003938556, 2065238.5209068805 106090.0375443846, 2065213.382180974 107415.54882504046, 2066545.1214667112 107427.15181866288, 2067865.6147134453 107438.87554694712, 2067882.132066667 106132.26317611337, 2066561.4226130545 106113.92003938556))"
45,NE,University,Board of Educational Lands and Funds,University of Nebraska,163.07,surface,Holt,27,09W,30,"POLYGON ((2072454.4746772945 896844.3691209555, 2071150.8150560707 896833.6529364586, 2071121.1336889267 898190.8859342337, 2071091.5510748476 899548.441765964, 2072380.2770008892 899576.0174945593, 2073668.8385571837 899603.5696011484, 2073722.7656075358 898235.3054589182, 2073769.780927211 896863.9373206943, 2072454.4746772945 896844.3691209555))"
46,NE,University,Board of Educational Lands and Funds,University of Nebraska,158.71,surface,Holt,28,10W,34,"POLYGON ((2056190.8318698555 923172.4238626212, 2054861.6732872725 923154.6361709088, 2054854.553551808 924467.1783191115, 2054847.497464493 925767.9557286203, 2056164.7544976622 925784.4527406842, 2057480.8707852215 925800.9353170842, 2057499.764773801 924501.4371043146, 2057518.8296937644 923190.1961344332, 2056190.8318698555 923172.4238626212))"
