,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
1536,WI,University of Wisconsin,40.0,35.51,Normal School,Board of Commissioners of Public Lands,Price,36N,03E,02,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((462688.6921996316 2530725.2524780002, 462710.26380277035 2530359.6923320987, 462316.52570327086 2530324.2926564245, 462295.9208403267 2530685.5776500236, 462688.6921996316 2530725.2524780002))"
1537,WI,University of Wisconsin,40.0,40.3,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,03,SENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((549724.513356363 2517421.491409385, 549742.3963552243 2517013.9485723735, 549339.0327516258 2516995.014456795, 549323.8776478228 2517397.0745824287, 549724.513356363 2517421.491409385))"
1538,WI,University of Wisconsin,40.0,41.25,Normal School,Board of Commissioners of Public Lands,Langlade,34N,10E,18,SWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((524628.0492509329 2511926.1712460467, 525022.0426060298 2511957.345821054, 525122.1760696821 2511544.5457201586, 524716.4110689906 2511517.6694315355, 524628.0492509329 2511926.1712460467))"
1539,WI,University of Wisconsin,40.0,40.33,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,21,SWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((606051.8843937928 2515642.82777127, 606076.7526267164 2515259.5598565554, 606077.2528020947 2515249.6635647453, 605663.2210722332 2515221.5070205256, 605658.5630027838 2515322.7270128485, 605657.6887177755 2515341.7277475786, 605644.8540247971 2515620.632007581, 606051.8843937928 2515642.82777127))"
1540,WI,University of Wisconsin,40.0,39.97,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,26,NESW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((608954.512504007 2514563.0689233094, 608982.2308377227 2514155.463734412, 608585.4966150807 2514141.931177805, 608558.7222134522 2514548.8906794926, 608954.512504007 2514563.0689233094))"
1541,WI,University of Wisconsin,40.0,40.58,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,26,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((609358.8723017478 2514577.5501281563, 609383.6688123861 2514171.942095383, 608982.2308377227 2514155.463734412, 608954.512504007 2514563.0689233094, 609358.8723017478 2514577.5501281563))"
1542,WI,University of Wisconsin,40.0,41.03,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,28,SESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((606569.4145669362 2514044.868768628, 606595.9034461426 2513641.9656465026, 606185.670068231 2513617.623382726, 606158.546616227 2514020.4581013066, 606569.4145669362 2514044.868768628))"
1543,WI,University of Wisconsin,40.0,39.96,Normal School,Board of Commissioners of Public Lands,Forest,36N,13E,17,SESW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((553806.7155589607 2532465.681790638, 553798.4351611384 2532545.8925687624, 553786.0698250163 2532665.3038286217, 553765.9428259808 2532859.5086994707, 554174.5889468656 2532886.7815148546, 554211.2768475629 2532490.0126740965, 553806.7155589607 2532465.681790638))"
1544,WI,University of Wisconsin,40.0,42.28,Normal School,Board of Commissioners of Public Lands,Price,36N,01E,17,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((437821.16395160084 2525492.764430638, 437836.76969886315 2525078.1583054964, 437410.3767573577 2525050.735404398, 437419.49903336825 2525462.1742126, 437821.16395160084 2525492.764430638))"
1545,WI,University of Wisconsin,40.0,40.52,Normal School,Board of Commissioners of Public Lands,Oneida,38N,10E,09,SENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((525354.3239943482 2553153.4462734405, 525752.1182525671 2553160.9892176874, 525811.8741174748 2552752.9121257314, 525406.1379494062 2552747.159902834, 525354.3239943482 2553153.4462734405))"
1546,WI,University of Wisconsin,40.0,40.21,Normal School,Board of Commissioners of Public Lands,Oneida,36N,05E,20,NENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((476985.2764715467 2527615.2791828318, 477394.43666480255 2527631.005517462, 477417.5324564754 2527233.899027618, 477009.5090229828 2527217.658713384, 476985.2764715467 2527615.2791828318))"
1547,WI,University of Wisconsin,40.0,40.63,Normal School,Board of Commissioners of Public Lands,Price,36N,01W,20,NWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((427226.6513408943 2524166.1405724986, 427640.80468901846 2524175.2467755848, 427663.0388428505 2523773.239210623, 427261.5912921281 2523763.044212964, 427226.6513408943 2524166.1405724986))"
1548,WI,University of Wisconsin,40.0,39.79,Normal School,Board of Commissioners of Public Lands,Oneida,36N,05E,21,SWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((477813.94924310077 2527289.845358285, 477839.1057919238 2526882.903282249, 477440.6285895927 2526836.7885924676, 477417.5324564754 2527233.899027618, 477813.94924310077 2527289.845358285))"
1549,WI,University of Wisconsin,40.0,39.87,Normal School,Board of Commissioners of Public Lands,Oneida,36N,05E,19,SWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((475380.714464075 2527144.288954536, 475404.0666749118 2526743.4589643274, 475004.0279190749 2526717.537040377, 474979.83875367185 2527119.426570234, 475380.714464075 2527144.288954536))"
1550,WI,University of Wisconsin,40.0,42.45,Normal School,Board of Commissioners of Public Lands,Oneida,36N,04E,25,SWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((473095.5562841237 2525430.6563028246, 473117.23946968484 2525009.273979479, 472711.4997322545 2524995.351731829, 472691.50811625924 2525421.408011881, 473095.5562841237 2525430.6563028246))"
1551,WI,University of Wisconsin,40.0,40.46,Normal School,Board of Commissioners of Public Lands,Price,36N,01W,28,NWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((428999.2995246227 2522223.8670406747, 428985.8599154593 2522626.778015709, 429390.74447201233 2522650.6476578745, 429403.7652404466 2522245.897250239, 428999.2995246227 2522223.8670406747))"
1552,WI,University of Wisconsin,40.0,41.0,Normal School,Board of Commissioners of Public Lands,Oneida,36N,07E,28,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((498072.8816784113 2526381.37402803, 498054.2481442327 2526785.0401765415, 498468.86358264385 2526811.0089231185, 498479.37657214585 2526408.216962459, 498072.8816784113 2526381.37402803))"
