,state,university,rights_type,acres,gis_acres,trust_name,managing_agency,meridian,township,range,section,aliquot,data_source,geometry
48,NM,New Mexico State University,subsurface,40.0,39.84,New Mexico State University,State Land Office,23,13N,14W,04,NWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((197425.3161000004 3920989.2508000005, 197412.66610000003 3920588.0792999994, 197010.56410000008 3920601.5769999996, 197023.24390000012 3921002.6088999994, 197425.3161000004 3920989.2508000005))"
49,NM,New Mexico State University,subsurface,40.0,39.97,New Mexico State University,State Land Office,23,13N,14W,04,SENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((198645.2282999996 3921351.0777000003, 198632.63760000002 3920949.127699999, 198230.01290000044 3920962.5101999994, 198242.63540000003 3921364.3803000003, 198645.2282999996 3921351.0777000003))"
50,NM,New Mexico State University,subsurface,40.0,39.91,New Mexico State University,State Land Office,23,13N,14W,04,SENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((197840.0412999997 3921377.681, 197827.40350000001 3920975.8902000003, 197425.3161000004 3920989.2508000005, 197437.70820000023 3921390.9911, 197840.0412999997 3921377.681))"
51,NM,New Mexico State University,subsurface,40.0,39.9,New Mexico State University,State Land Office,23,13N,14W,04,SESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((198619.5373999998 3920547.575099999, 198606.45490000024 3920146.0220999997, 198204.30939999968 3920159.6259000003, 198217.16060000006 3920561.068, 198619.5373999998 3920547.575099999))"
52,NM,New Mexico State University,subsurface,40.0,39.86,New Mexico State University,State Land Office,23,13N,14W,04,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((197814.7823999999 3920574.5590000004, 197802.16330000013 3920173.2478, 197400.01659999974 3920186.8878000006, 197412.66610000003 3920588.0792999994, 197814.7823999999 3920574.5590000004))"
53,NM,New Mexico State University,subsurface,40.0,39.96,New Mexico State University,State Land Office,23,13N,14W,04,SWNE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((198242.63540000003 3921364.3803000003, 198230.01290000044 3920962.5101999994, 197827.40350000001 3920975.8902000003, 197840.0412999997 3921377.681, 198242.63540000003 3921364.3803000003))"
54,NM,New Mexico State University,subsurface,40.0,39.91,New Mexico State University,State Land Office,23,13N,14W,04,SWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((197437.70820000023 3921390.9911, 197425.3161000004 3920989.2508000005, 197023.24390000012 3921002.6088999994, 197035.39099999983 3921404.3187000006, 197437.70820000023 3921390.9911))"
55,NM,New Mexico State University,subsurface,40.0,39.88,New Mexico State University,State Land Office,23,13N,14W,04,SWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((198217.16060000006 3920561.068, 198204.30939999968 3920159.6259000003, 197802.16330000013 3920173.2478, 197814.7823999999 3920574.5590000004, 198217.16060000006 3920561.068))"
56,NM,New Mexico State University,subsurface,40.0,39.84,New Mexico State University,State Land Office,23,13N,14W,04,SWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((197412.66610000003 3920588.0792999994, 197400.01659999974 3920186.8878000006, 196997.86930000037 3920200.5459000003, 197010.56410000008 3920601.5769999996, 197412.66610000003 3920588.0792999994))"
57,NM,New Mexico State University,subsurface,40.0,39.73,New Mexico State University,State Land Office,23,13N,14W,06,NESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((195410.42960000038 3921067.3531, 195398.7474999996 3920666.9623000007, 194997.51439999975 3920679.201199999, 195008.37260000035 3921079.8813000005, 195410.42960000038 3921067.3531))"
